8368133a-2ed1-41ac-9fb3-f7edd6156622,Revit Element : ExtentElem : id 116487
7458d87e-cba9-4361-9b79-8ba539860eb4,Revit Floor : Floor 1 : id 116498,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Wall : 12" Exterior : id 117867,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Wall : 12" Exterior : id 117912,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Wall : 12" Exterior : id 117970,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Wall : 12" Exterior : id 118032,00000000-0000-0000-0000-000000000000
28e41b13-b563-4884-83fd-b5a602d565cb,Revit Spatial Element : Living/Kitch/Circ : id 128063,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Section 1 : id 129505,00000000-0000-0000-0000-000000000000
b1985a76-8ca6-49f6-bb88-5972efc58a3e,Revit Instance Element : 3D View 1 : id 130907,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Elevation 1 : id 131051,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Elevation 1 - a : id 131052,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Elevation 2 : id 131061,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Elevation 2 - a : id 131062,00000000-0000-0000-0000-000000000000
cc2ae7a4-0542-4331-82f9-52f888e669ee,Revit Graphical Element : Room Tag With Area : id 137866,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : Island : id 138055,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Wall : 6" Inteior : id 138056,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138057,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138058,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138059,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138060,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138061,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Component : FG_36x84 : id 138062,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : Casework : id 138074,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Spatial Element : Pantry : id 138075,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Spatial Element : Bed1 : id 138076,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Spatial Element : Bath1 : id 138077,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Spatial Element : Bath2 : id 138078,00000000-0000-0000-0000-000000000000
d3d4994e-c5d9-48fd-b692-5531f661a5fb,Revit Spatial Element : Bed2 : id 138079,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : Queen 62" x 83" : id 138080,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : 32" x 84" : id 138081,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : 32" x 84" : id 138082,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : 32" x 84" : id 138083,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : 32" x 84" : id 138084,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138085,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : Queen 62" x 83" : id 138086,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138087,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138088,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138089,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Wall : 6" Inteior : id 138090,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : 32" x 84" : id 138091,00000000-0000-0000-0000-000000000000
26adab34-042c-454d-baa5-0658b385593b,Revit Component : 32" x 84" : id 138092,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 138093,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 138094,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 138095,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 138096,00000000-0000-0000-0000-000000000000
567c91d4-48a9-44a5-abe8-9631be77e7d4,Revit Graphical Element : Room Tag With Area : id 138097,00000000-0000-0000-0000-000000000000
